0, 1, 0, Name Toy, 100.0, 0, 0, 20.0, 
1, 1, 1, Name Toy 1, 1050.0, 0, 0, 22.0, 
2, 0, 0, Name Toy 2, 400.0, 0, 3, 22.0, 
3, 1, 1, Name Toy 3, 3999.0, 0, 15, 2.0, 
4, 1, 2, Name Toy 4, 4000.0, 0, 14, 1.0, 
5, 1, 1, Name Toy 5, 550.0, 0, 2, 29.0, 
6, 2, 1, Name Toy 6, 500.0, 0, 0, 30.0, 
7, 1, 1, Name Toy 7, 4000.0, 0, 11, 2.0, 
8, 2, 2, Name Toy 8, 5000.0, 0, 13, 0.5, 
9, 1, 1, Name Toy 9, 4799.0, 0, 9, 6.0, 
10, 1, 1, Name Toy 10, 3000.0, 0, 12, 7.0, 
11, 3, 1, Name Toy 11, 230.0, 0, 3, 20.0, 
12, 1, 2, Name Toy 12, 200.0, 0, 0, 22.0, 
13, 0, 1, Name Toy 13, 767.0, 0, 12, 12.0, 
14, 1, 2, Name Toy 14, 555.0, 0, 11, 15.0, 
15, 1, 1, Name Toy 15, 100.0, 0, 7, 20.0, 
16, 1, 1, Name Toy 16, 1000.0, 0, 13, 7.0, 
17, 5, 2, Name Toy 17, 700.0, 0, 4, 18.0, 
18, 1, 1, Name Toy 18, 754.0, 0, 6, 19.0, 
19, 1, 0, Name Toy 19, 10.0, 0, 10, 20.0, 
20, 4, 0, Name Toy 20, 33.0, 0, 6, 20.0, 
21, 4, 0, Name Toy 21, 50.0, 0, 11, 33.0, 
22, 6, 2, Name Toy 22, 100.0, 0, 15, 10.0, 
23, 0, 1, Name Toy 23, 77.0, 0, 15, 20.0, 
24, 0, 1, New toys, 700.0, 0, 2, 10.0, 
25, 0, 1, New toys, 700.0, 0, 2, 10.0, 
26, 0, 1, New toys, 700.0, 0, 2, 10.0, 
27, 0, 1, New toys, 700.0, 0, 2, 10.0, 
28, 0, 1, New toys, 700.0, 0, 2, 10.0, 
29, 0, 1, New toys, 700.0, 0, 2, 10.0, 
